Designator,Mid X,Mid Y,Layer,Rotation
C1,160.75,-100.525,top,-90
C2,141.525,-106.75,top,180
CL_1,159.6125,-100.5,top,-90
CL_2,173.5,-109,top,0
HT1,140.8,-100.3,top,90
J2,154.46,-107.7,top,90
R1,156.175,-91.5,top,180
R2,150.4,-92.875,top,90
R3,150.4,-96.075,top,-90
R4,150.425,-99.25,top,-90
R5,136.25,-105.675,top,90
R6,156.175,-93.25,top,180
R7,132.5,-105.675,top,90
U1,156.2,-99.1,top,90
