Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",137.387500,-80.500000,0.000000,top
"C2","10uF","C_0805_2012Metric",131.387500,-81.750000,90.000000,top
"C3","10uF","C_0805_2012Metric",128.775000,-86.750000,0.000000,top
"C4","100nF","C_0402_1005Metric",128.255000,-88.500000,180.000000,top
"C5","1nF","C_0402_1005Metric",100.000000,-91.000000,0.000000,top
"C7","100nF","C_0402_1005Metric",127.275000,-91.250000,90.000000,top
"CL_1","~","MY-ZJ-117",137.425000,-88.000000,90.000000,top
"CL_2","~","MY-ZJ-118",146.000000,-96.387500,0.000000,top
"CX1","12pF","C_0402_1005Metric",131.775000,-90.480000,90.000000,top
"CX2","12pF","C_0402_1005Metric",131.775000,-93.500000,-90.000000,top
"J1","LCD PADS","LCD PADS",105.775000,-79.775000,0.000000,top
"J2","SBW","PinHeader_1x04_P2.54mm_Vertical",96.500000,-92.750000,180.000000,top
"L1","2.2uH","L_0805_2012Metric",137.387500,-82.750000,180.000000,top
"R1","2.0M","R_0402_1005Metric",132.887500,-84.250000,90.000000,top
"R2","1.0M","R_0402_1005Metric",133.887500,-84.250000,90.000000,top
"R3","47k","R_0402_1005Metric",99.990000,-89.500000,180.000000,top
"U1","TPS61099DRVR","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",134.000000,-81.600000,0.000000,top
"U2","MSP430FR4133IPM","PM0064A_N",120.000000,-89.000000,180.000000,top
"Y1","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",129.775000,-92.000000,90.000000,top
